,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
100,CHEMBL4740285,C[C@@H](NC(=O)C1CCCCC1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,86.0,active,510.5600000000003,7.4767000000000055,1.0,6.0,86.0,7.0655015487564325
101,CHEMBL4786690,C[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,2.0,active,460.5530000000003,6.597000000000005,1.0,6.0,2.0,8.698970004336019
102,CHEMBL4757725,C[C@@H](NC(=O)c1cccc(Cl)c1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,48.0,active,391.46500000000015,6.4668000000000045,1.0,2.0,48.0,7.318758762624412
103,CHEMBL4796405,C[C@@H](NC(=O)c1ccccc1Cl)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,215.0,active,446.5260000000002,6.206900000000005,1.0,6.0,215.0,6.667561540084395
104,CHEMBL4752360,C[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,1000.0,active,446.5260000000002,6.586600000000005,1.0,6.0,1000.0,6.0
105,CHEMBL4754556,C[C@@H](NC(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,67.0,active,434.9460000000002,6.889900000000005,1.0,3.0,67.0,7.173925197299174
106,CHEMBL4759322,C[C@@H](NC(=O)Cc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,651.0,active,435.9300000000002,7.154800000000005,0.0,4.0,651.0,6.186419011431808
107,CHEMBL4791270,C[C@@H](CNC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,772.0,active,433.9580000000002,7.494900000000006,1.0,2.0,772.0,6.112382699664264
108,CHEMBL4161733,C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,5.0,active,434.9420000000002,7.759800000000006,0.0,3.0,5.0,8.301029995663981
109,CHEMBL4789681,COc1ncc(NC(=O)[C@H](C)[C@H]2CC[C@@H](c3ccnc4ccc(F)cc43)CC2)cn1,92.0,active,410.92000000000013,6.575900000000004,1.0,2.0,92.0,7.036212172654444
110,CHEMBL4758055,C[C@H](NC(=O)[C@H](C)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1)c1ccc(Cl)cc1,870.0,active,294.398,3.7311400000000026,2.0,3.0,870.0,6.060480747381382
111,CHEMBL4757067,C[C@@H](C(=O)NC1CCCCC1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,287.0,active,433.49900000000014,4.913800000000005,1.0,5.0,287.0,6.542118103266008
112,CHEMBL4794508,C[C@@H](CNc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,62.0,active,452.9290000000002,5.400000000000006,1.0,4.0,62.0,7.2076083105017466
113,CHEMBL4791151,C[C@@H](NCc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,1000.0,active,436.9300000000002,6.163600000000004,1.0,3.0,1000.0,6.0
114,CHEMBL4755937,C[C@@H](c1nc2ccc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,12.0,active,404.9130000000002,5.365100000000004,1.0,3.0,12.0,7.920818753952375
115,CHEMBL4756822,CCC(c1nc2ncc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(C(F)(F)F)cc32)CC1,3.0,active,400.9500000000002,5.534420000000004,1.0,3.0,3.0,8.522878745280337
